,GSPC,RSI_Signals,BB_Signals
2017-09-12,2496.47998,Hold,Sell
2017-09-13,2498.3701170000004,Hold,Hold
2017-09-14,2495.6201170000004,Hold,Hold
2017-09-15,2500.22998,Hold,Hold
2017-09-18,2503.8701170000004,Hold,Hold
2017-09-19,2506.649902,Hold,Hold
2017-09-20,2508.23999,Hold,Hold
2017-09-21,2500.600098,Sell,Hold
2017-09-22,2502.219971,Hold,Hold
2017-09-25,2496.659912,Hold,Hold
2017-09-26,2496.840088,Hold,Hold
2017-09-27,2507.040039,Hold,Hold
2017-09-28,2510.060059,Hold,Hold
2017-09-29,2519.360107,Hold,Hold
2017-10-02,2529.1201170000004,Hold,Hold
2017-10-03,2534.580078,Hold,Hold
2017-10-04,2537.73999,Hold,Hold
2017-10-05,2552.070068,Hold,Sell
2017-10-06,2549.330078,Hold,Hold
2017-10-09,2544.72998,Hold,Hold
2017-10-10,2550.639893,Hold,Hold
2017-10-11,2555.23999,Hold,Hold
2017-10-12,2550.929932,Hold,Hold
2017-10-13,2553.169922,Hold,Hold
2017-10-16,2557.639893,Hold,Hold
2017-10-17,2559.360107,Hold,Hold
2017-10-18,2561.26001,Hold,Hold
2017-10-19,2562.100098,Hold,Hold
2017-10-20,2575.209961,Hold,Hold
2017-10-23,2564.97998,Sell,Hold
2017-10-24,2569.1298829999996,Hold,Hold
2017-10-25,2557.149902,Sell,Hold
2017-10-26,2560.399902,Hold,Hold
2017-10-27,2581.070068,Hold,Sell
2017-10-30,2572.830078,Sell,Hold
2017-10-31,2575.26001,Hold,Hold
2017-11-01,2579.360107,Hold,Hold
2017-11-02,2579.850098,Hold,Hold
2017-11-03,2587.840088,Hold,Hold
2017-11-06,2591.1298829999996,Hold,Hold
2017-11-07,2590.639893,Hold,Hold
2017-11-08,2594.3798829999996,Hold,Hold
2017-11-09,2584.6201170000004,Sell,Hold
2017-11-10,2582.300049,Hold,Hold
2017-11-13,2584.840088,Hold,Hold
2017-11-14,2578.8701170000004,Hold,Hold
2017-11-15,2564.6201170000004,Hold,Hold
2017-11-16,2585.639893,Hold,Hold
2017-11-17,2578.850098,Hold,Hold
2017-11-20,2582.139893,Hold,Hold
2017-11-21,2599.030029,Hold,Hold
2017-11-22,2597.080078,Hold,Hold
2017-11-23,2597.080078,Hold,Hold
2017-11-24,2602.419922,Hold,Hold
2017-11-27,2601.419922,Hold,Hold
2017-11-28,2627.040039,Hold,Sell
2017-11-29,2626.070068,Hold,Sell
2017-11-30,2647.580078,Hold,Sell
2017-12-01,2642.219971,Hold,Sell
2017-12-04,2639.439941,Hold,Hold
2017-12-05,2629.570068,Sell,Hold
2017-12-06,2629.27002,Hold,Hold
2017-12-07,2636.97998,Hold,Hold
2017-12-08,2651.5,Hold,Hold
2017-12-11,2659.98999,Hold,Hold
2017-12-12,2664.110107,Hold,Hold
2017-12-13,2662.850098,Hold,Hold
2017-12-14,2652.01001,Sell,Hold
2017-12-15,2675.810059,Hold,Hold
2017-12-18,2690.159912,Hold,Hold
2017-12-19,2681.469971,Hold,Hold
2017-12-20,2679.25,Sell,Hold
2017-12-21,2684.570068,Hold,Hold
2017-12-22,2683.340088,Hold,Hold
2017-12-25,2683.340088,Hold,Hold
2017-12-26,2680.5,Sell,Hold
2017-12-27,2682.6201170000004,Hold,Hold
2017-12-28,2687.540039,Hold,Hold
2017-12-29,2673.610107,Sell,Hold
2018-01-01,2673.610107,Hold,Hold
2018-01-02,2695.810059,Hold,Hold
2018-01-03,2713.060059,Hold,Sell
2018-01-04,2723.98999,Hold,Sell
2018-01-05,2743.149902,Hold,Sell
2018-01-08,2747.709961,Hold,Sell
2018-01-09,2751.290039,Hold,Sell
2018-01-10,2748.22998,Hold,Hold
2018-01-11,2767.560059,Hold,Sell
2018-01-12,2786.23999,Hold,Sell
2018-01-15,2786.23999,Hold,Hold
2018-01-16,2776.419922,Hold,Hold
2018-01-17,2802.560059,Hold,Hold
2018-01-18,2798.030029,Hold,Hold
2018-01-19,2810.300049,Hold,Hold
2018-01-22,2832.969971,Hold,Hold
2018-01-23,2839.1298829999996,Hold,Hold
2018-01-24,2837.540039,Hold,Hold
2018-01-25,2839.25,Hold,Hold
2018-01-26,2872.8701170000004,Hold,Hold
2018-01-29,2853.530029,Hold,Hold
2018-01-30,2822.429932,Sell,Hold
2018-01-31,2823.810059,Hold,Hold
2018-02-01,2821.97998,Hold,Hold
2018-02-02,2762.1298829999996,Hold,Hold
2018-02-05,2648.939941,Hold,Buy
2018-02-06,2695.139893,Buy,Hold
2018-02-07,2681.659912,Hold,Hold
2018-02-08,2581.0,Hold,Buy
2018-02-09,2619.550049,Buy,Hold
2018-02-12,2656.0,Hold,Hold
2018-02-13,2662.939941,Hold,Hold
2018-02-14,2698.6298829999996,Hold,Hold
2018-02-15,2731.199951,Hold,Hold
2018-02-16,2732.219971,Hold,Hold
2018-02-19,2732.219971,Hold,Hold
2018-02-20,2716.26001,Hold,Hold
2018-02-21,2701.330078,Hold,Hold
2018-02-22,2703.959961,Hold,Hold
2018-02-23,2747.300049,Hold,Hold
2018-02-26,2779.600098,Hold,Hold
2018-02-27,2744.280029,Hold,Hold
2018-02-28,2713.830078,Hold,Hold
2018-03-01,2677.669922,Hold,Hold
2018-03-02,2691.25,Hold,Hold
2018-03-05,2720.939941,Hold,Hold
2018-03-06,2728.1201170000004,Hold,Hold
2018-03-07,2726.800049,Hold,Hold
2018-03-08,2738.969971,Hold,Hold
2018-03-09,2786.570068,Hold,Sell
2018-03-12,2783.02002,Hold,Hold
2018-03-13,2765.310059,Hold,Hold
2018-03-14,2749.47998,Hold,Hold
2018-03-15,2747.330078,Hold,Hold
2018-03-16,2752.01001,Hold,Hold
2018-03-19,2712.919922,Hold,Hold
2018-03-20,2716.939941,Hold,Hold
2018-03-21,2711.929932,Hold,Hold
2018-03-22,2643.689941,Hold,Buy
2018-03-23,2588.26001,Hold,Buy
2018-03-26,2658.550049,Buy,Hold
2018-03-27,2612.6201170000004,Hold,Hold
2018-03-28,2605.0,Hold,Hold
2018-03-29,2640.8701170000004,Hold,Hold
2018-03-30,2640.8701170000004,Hold,Hold
2018-04-02,2581.8798829999996,Hold,Hold
2018-04-03,2614.449951,Hold,Hold
2018-04-04,2644.689941,Hold,Hold
2018-04-05,2662.840088,Hold,Hold
2018-04-06,2604.469971,Hold,Hold
2018-04-09,2613.159912,Hold,Hold
2018-04-10,2656.8701170000004,Hold,Hold
2018-04-11,2642.189941,Hold,Hold
2018-04-12,2663.98999,Hold,Hold
2018-04-13,2656.300049,Hold,Hold
2018-04-16,2677.840088,Hold,Hold
2018-04-17,2706.389893,Hold,Hold
2018-04-18,2708.639893,Hold,Hold
2018-04-19,2693.1298829999996,Hold,Hold
2018-04-20,2670.139893,Hold,Hold
2018-04-23,2670.290039,Hold,Hold
2018-04-24,2634.560059,Hold,Hold
2018-04-25,2639.399902,Hold,Hold
2018-04-26,2666.939941,Hold,Hold
2018-04-27,2669.909912,Hold,Hold
2018-04-30,2648.050049,Hold,Hold
2018-05-01,2654.800049,Hold,Hold
2018-05-02,2635.669922,Hold,Hold
2018-05-03,2629.72998,Hold,Hold
2018-05-04,2663.419922,Hold,Hold
2018-05-07,2672.6298829999996,Hold,Hold
2018-05-08,2671.919922,Hold,Hold
2018-05-09,2697.790039,Hold,Hold
2018-05-10,2723.070068,Hold,Sell
2018-05-11,2727.719971,Hold,Hold
2018-05-14,2730.1298829999996,Hold,Hold
2018-05-15,2711.449951,Hold,Hold
2018-05-16,2722.459961,Hold,Hold
2018-05-17,2720.1298829999996,Hold,Hold
2018-05-18,2712.969971,Hold,Hold
2018-05-21,2733.01001,Hold,Hold
2018-05-22,2724.439941,Hold,Hold
2018-05-23,2733.290039,Hold,Hold
2018-05-24,2727.76001,Hold,Hold
2018-05-25,2721.330078,Hold,Hold
2018-05-28,2721.330078,Hold,Hold
2018-05-29,2689.860107,Hold,Hold
2018-05-30,2724.01001,Hold,Hold
2018-05-31,2705.27002,Hold,Hold
2018-06-01,2734.6201170000004,Hold,Hold
2018-06-04,2746.8701170000004,Hold,Hold
2018-06-05,2748.800049,Hold,Hold
2018-06-06,2772.350098,Hold,Sell
2018-06-07,2770.3701170000004,Hold,Sell
2018-06-08,2779.030029,Hold,Sell
2018-06-11,2782.0,Hold,Hold
2018-06-12,2786.850098,Hold,Hold
2018-06-13,2775.6298829999996,Sell,Hold
2018-06-14,2782.48999,Hold,Hold
2018-06-15,2779.659912,Hold,Hold
2018-06-18,2773.75,Hold,Hold
2018-06-19,2762.590088,Hold,Hold
2018-06-20,2767.320068,Hold,Hold
2018-06-21,2749.76001,Hold,Hold
2018-06-22,2754.8798829999996,Hold,Hold
2018-06-25,2717.070068,Hold,Hold
2018-06-26,2723.060059,Hold,Hold
2018-06-27,2699.6298829999996,Hold,Buy
2018-06-28,2716.310059,Hold,Hold
2018-06-29,2718.3701170000004,Hold,Hold
2018-07-02,2726.709961,Hold,Hold
2018-07-03,2713.219971,Hold,Hold
2018-07-04,2713.219971,Hold,Hold
2018-07-05,2736.610107,Hold,Hold
2018-07-06,2759.820068,Hold,Hold
2018-07-09,2784.169922,Hold,Hold
2018-07-10,2793.840088,Hold,Hold
2018-07-11,2774.02002,Hold,Hold
2018-07-12,2798.290039,Hold,Hold
2018-07-13,2801.310059,Hold,Hold
2018-07-16,2798.429932,Hold,Hold
2018-07-17,2809.550049,Hold,Hold
2018-07-18,2815.6201170000004,Hold,Hold
2018-07-19,2804.48999,Hold,Hold
2018-07-20,2801.830078,Hold,Hold
2018-07-23,2806.97998,Hold,Hold
2018-07-24,2820.399902,Hold,Hold
2018-07-25,2846.070068,Hold,Hold
2018-07-26,2837.439941,Sell,Hold
2018-07-27,2818.820068,Hold,Hold
2018-07-30,2802.600098,Hold,Hold
2018-07-31,2816.290039,Hold,Hold
2018-08-01,2813.360107,Hold,Hold
2018-08-02,2827.219971,Hold,Hold
2018-08-03,2840.350098,Hold,Hold
2018-08-06,2850.399902,Hold,Hold
2018-08-07,2858.449951,Hold,Hold
2018-08-08,2857.699951,Hold,Hold
2018-08-09,2853.580078,Hold,Hold
2018-08-10,2833.280029,Hold,Hold
2018-08-13,2821.929932,Hold,Hold
2018-08-14,2839.959961,Hold,Hold
2018-08-15,2818.3701170000004,Hold,Hold
2018-08-16,2840.689941,Hold,Hold
2018-08-17,2850.1298829999996,Hold,Hold
2018-08-20,2857.050049,Hold,Hold
2018-08-21,2862.959961,Hold,Hold
2018-08-22,2861.820068,Hold,Hold
2018-08-23,2856.97998,Hold,Hold
2018-08-24,2874.689941,Hold,Hold
2018-08-27,2896.73999,Hold,Sell
2018-08-28,2897.52002,Hold,Sell
2018-08-29,2914.040039,Hold,Sell
2018-08-30,2901.1298829999996,Sell,Hold
2018-08-31,2901.52002,Hold,Hold
2018-09-03,2901.52002,Hold,Hold
2018-09-04,2896.719971,Hold,Hold
2018-09-05,2888.600098,Hold,Hold
2018-09-06,2878.050049,Hold,Hold
2018-09-07,2871.679932,Hold,Hold
2018-09-10,2877.1298829999996,Hold,Hold
2018-09-11,2887.889893,Hold,Hold
2018-09-12,2888.919922,Hold,Hold
2018-09-13,2904.179932,Hold,Hold
2018-09-14,2904.97998,Hold,Hold
2018-09-17,2888.800049,Hold,Hold
2018-09-18,2904.310059,Hold,Hold
2018-09-19,2907.949951,Hold,Hold
2018-09-20,2930.75,Hold,Sell
2018-09-21,2929.669922,Sell,Sell
2018-09-24,2919.3701170000004,Hold,Hold
2018-09-25,2915.560059,Hold,Hold
2018-09-26,2905.969971,Hold,Hold
2018-09-27,2914.0,Hold,Hold
2018-09-28,2913.97998,Hold,Hold
2018-10-01,2924.590088,Hold,Hold
2018-10-02,2923.429932,Hold,Hold
2018-10-03,2925.51001,Hold,Hold
2018-10-04,2901.610107,Hold,Hold
2018-10-05,2885.570068,Hold,Hold
2018-10-08,2884.429932,Hold,Hold
2018-10-09,2880.340088,Hold,Hold
2018-10-10,2785.679932,Hold,Buy
2018-10-11,2728.3701170000004,Hold,Buy
2018-10-12,2767.1298829999996,Hold,Buy
2018-10-15,2750.790039,Hold,Hold
2018-10-16,2809.919922,Buy,Hold
2018-10-17,2809.209961,Hold,Hold
2018-10-18,2768.780029,Hold,Hold
2018-10-19,2767.780029,Hold,Hold
2018-10-22,2755.8798829999996,Hold,Hold
2018-10-23,2740.689941,Hold,Hold
2018-10-24,2656.100098,Hold,Buy
2018-10-25,2705.570068,Buy,Hold
2018-10-26,2658.689941,Hold,Hold
2018-10-29,2641.25,Hold,Hold
2018-10-30,2682.6298829999996,Buy,Hold
2018-10-31,2711.73999,Hold,Hold
2018-11-01,2740.3701170000004,Hold,Hold
2018-11-02,2723.060059,Hold,Hold
2018-11-05,2738.310059,Hold,Hold
2018-11-06,2755.449951,Hold,Hold
2018-11-07,2813.889893,Hold,Hold
2018-11-08,2806.830078,Hold,Hold
2018-11-09,2781.01001,Hold,Hold
2018-11-12,2726.219971,Hold,Hold
2018-11-13,2722.179932,Hold,Hold
2018-11-14,2701.580078,Hold,Hold
2018-11-15,2730.199951,Hold,Hold
2018-11-16,2736.27002,Hold,Hold
2018-11-19,2690.72998,Hold,Hold
2018-11-20,2641.889893,Hold,Hold
2018-11-21,2649.929932,Hold,Hold
2018-11-22,2649.929932,Hold,Hold
2018-11-23,2632.560059,Hold,Hold
2018-11-26,2673.449951,Hold,Hold
2018-11-27,2682.169922,Hold,Hold
2018-11-28,2743.790039,Hold,Hold
2018-11-29,2737.800049,Hold,Hold
2018-11-30,2760.169922,Hold,Hold
2018-12-03,2790.3701170000004,Hold,Hold
2018-12-04,2700.060059,Hold,Hold
2018-12-05,2700.060059,Hold,Hold
2018-12-06,2695.949951,Hold,Hold
2018-12-07,2633.080078,Hold,Hold
2018-12-10,2637.719971,Hold,Hold
2018-12-11,2636.780029,Hold,Hold
2018-12-12,2651.070068,Hold,Hold
2018-12-13,2650.540039,Hold,Hold
2018-12-14,2599.949951,Hold,Hold
2018-12-17,2545.939941,Hold,Buy
2018-12-18,2546.159912,Hold,Hold
2018-12-19,2506.959961,Hold,Buy
2018-12-20,2467.419922,Hold,Buy
2018-12-21,2416.6201170000004,Hold,Buy
2018-12-24,2351.100098,Hold,Buy
2018-12-25,2351.100098,Hold,Hold
2018-12-26,2467.699951,Buy,Hold
2018-12-27,2488.830078,Hold,Hold
2018-12-28,2485.73999,Hold,Hold
2018-12-31,2506.850098,Hold,Hold
2019-01-01,2506.850098,Hold,Hold
2019-01-02,2510.030029,Hold,Hold
2019-01-03,2447.889893,Hold,Hold
2019-01-04,2531.939941,Hold,Hold
2019-01-07,2549.689941,Hold,Hold
2019-01-08,2574.409912,Hold,Hold
2019-01-09,2584.959961,Hold,Hold
2019-01-10,2596.639893,Hold,Hold
2019-01-11,2596.26001,Hold,Hold
2019-01-14,2582.610107,Hold,Hold
2019-01-15,2610.300049,Hold,Hold
2019-01-16,2616.100098,Hold,Hold
2019-01-17,2635.959961,Hold,Hold
2019-01-18,2670.709961,Hold,Hold
2019-01-21,2670.709961,Hold,Hold
2019-01-22,2632.899902,Sell,Hold
2019-01-23,2638.699951,Hold,Hold
2019-01-24,2642.330078,Hold,Hold
2019-01-25,2664.76001,Hold,Hold
2019-01-28,2643.850098,Hold,Hold
2019-01-29,2640.0,Hold,Hold
2019-01-30,2681.050049,Hold,Hold
2019-01-31,2704.100098,Hold,Hold
2019-02-01,2706.530029,Hold,Hold
2019-02-04,2724.8701170000004,Hold,Hold
2019-02-05,2737.699951,Hold,Hold
2019-02-06,2731.610107,Hold,Hold
2019-02-07,2706.050049,Sell,Hold
2019-02-08,2707.8798829999996,Hold,Hold
2019-02-11,2709.800049,Hold,Hold
2019-02-12,2744.72998,Hold,Hold
2019-02-13,2753.030029,Hold,Hold
2019-02-14,2745.72998,Sell,Hold
2019-02-15,2775.600098,Hold,Hold
2019-02-18,2775.600098,Hold,Hold
2019-02-19,2779.76001,Hold,Hold
2019-02-20,2784.699951,Hold,Hold
2019-02-21,2774.8798829999996,Sell,Hold
2019-02-22,2792.669922,Hold,Hold
2019-02-25,2796.110107,Hold,Hold
2019-02-26,2793.899902,Hold,Hold
2019-02-27,2792.3798829999996,Hold,Hold
2019-02-28,2784.48999,Sell,Hold
2019-03-01,2803.689941,Hold,Hold
2019-03-04,2792.810059,Sell,Hold
2019-03-05,2789.649902,Hold,Hold
2019-03-06,2771.449951,Hold,Hold
2019-03-07,2748.929932,Hold,Hold
2019-03-08,2743.070068,Hold,Hold
2019-03-11,2783.300049,Hold,Hold
2019-03-12,2791.52002,Hold,Hold
2019-03-13,2810.919922,Hold,Hold
2019-03-14,2808.47998,Hold,Hold
2019-03-15,2822.47998,Hold,Hold
2019-03-18,2832.939941,Hold,Sell
2019-03-19,2832.570068,Sell,Hold
2019-03-20,2824.22998,Hold,Hold
2019-03-21,2854.8798829999996,Hold,Sell
2019-03-22,2800.709961,Sell,Hold
2019-03-25,2798.360107,Hold,Hold
2019-03-26,2818.459961,Hold,Hold
2019-03-27,2805.3701170000004,Hold,Hold
2019-03-28,2815.439941,Hold,Hold
2019-03-29,2834.399902,Hold,Hold
2019-04-01,2867.189941,Hold,Hold
2019-04-02,2867.23999,Hold,Hold
2019-04-03,2873.399902,Hold,Hold
2019-04-04,2879.389893,Hold,Hold
2019-04-05,2892.73999,Hold,Hold
2019-04-08,2895.77002,Hold,Hold
2019-04-09,2878.199951,Sell,Hold
2019-04-10,2888.209961,Hold,Hold
2019-04-11,2888.320068,Hold,Hold
2019-04-12,2907.409912,Hold,Hold
2019-04-15,2905.580078,Hold,Hold
2019-04-16,2907.060059,Hold,Hold
2019-04-17,2900.449951,Sell,Hold
2019-04-18,2905.030029,Hold,Hold
2019-04-19,2905.030029,Hold,Hold
2019-04-22,2907.969971,Hold,Hold
2019-04-23,2933.679932,Hold,Hold
2019-04-24,2927.25,Hold,Hold
2019-04-25,2926.169922,Hold,Hold
2019-04-26,2939.8798829999996,Hold,Hold
2019-04-29,2943.030029,Hold,Hold
2019-04-30,2945.830078,Hold,Hold
2019-05-01,2923.72998,Sell,Hold
2019-05-02,2917.52002,Hold,Hold
2019-05-03,2945.639893,Hold,Hold
2019-05-06,2932.469971,Hold,Hold
2019-05-07,2884.050049,Hold,Hold
2019-05-08,2879.419922,Hold,Hold
2019-05-09,2870.719971,Hold,Buy
2019-05-10,2881.399902,Hold,Hold
2019-05-13,2811.8701170000004,Hold,Buy
2019-05-14,2834.409912,Buy,Hold
2019-05-15,2850.959961,Hold,Hold
2019-05-16,2876.320068,Hold,Hold
2019-05-17,2859.530029,Hold,Hold
2019-05-20,2840.22998,Hold,Hold
2019-05-21,2864.360107,Hold,Hold
2019-05-22,2856.27002,Hold,Hold
2019-05-23,2822.23999,Hold,Hold
2019-05-24,2826.060059,Hold,Hold
2019-05-27,2826.060059,Hold,Hold
2019-05-28,2802.389893,Hold,Hold
2019-05-29,2783.02002,Hold,Hold
2019-05-30,2788.860107,Hold,Hold
2019-05-31,2752.060059,Hold,Buy
2019-06-03,2744.449951,Hold,Buy
2019-06-04,2803.27002,Buy,Hold
2019-06-05,2826.149902,Hold,Hold
2019-06-06,2843.48999,Hold,Hold
2019-06-07,2873.340088,Hold,Hold
