,GSPC,RSI_Signals,BB_Signals
2010-05-05,1165.869995,Hold,Buy
2010-05-06,1128.150024,Hold,Buy
2010-05-07,1110.880005,Hold,Buy
2010-05-10,1159.72998,Buy,Hold
2010-05-11,1155.790039,Hold,Hold
2010-05-12,1171.670044,Hold,Hold
2010-05-13,1157.439941,Hold,Hold
2010-05-14,1135.680054,Hold,Hold
2010-05-17,1136.939941,Hold,Hold
2010-05-18,1120.800049,Hold,Hold
2010-05-19,1115.050049,Hold,Hold
2010-05-20,1071.589966,Hold,Buy
2010-05-21,1087.689941,Buy,Hold
2010-05-24,1073.650024,Hold,Hold
2010-05-25,1074.030029,Hold,Hold
2010-05-26,1067.949951,Hold,Hold
2010-05-27,1103.060059,Buy,Hold
2010-05-28,1089.410034,Hold,Hold
2010-05-31,1089.410034,Hold,Hold
2010-06-01,1070.709961,Hold,Hold
2010-06-02,1098.380005,Hold,Hold
2010-06-03,1102.829956,Hold,Hold
2010-06-04,1064.880005,Hold,Hold
2010-06-07,1050.469971,Hold,Hold
2010-06-08,1062.0,Hold,Hold
2010-06-09,1055.689941,Hold,Hold
2010-06-10,1086.839966,Hold,Hold
2010-06-11,1091.599976,Hold,Hold
2010-06-14,1089.630005,Hold,Hold
2010-06-15,1115.22998,Hold,Hold
2010-06-16,1114.609985,Hold,Hold
2010-06-17,1116.040039,Hold,Hold
2010-06-18,1117.51001,Hold,Hold
2010-06-21,1113.199951,Hold,Hold
2010-06-22,1095.310059,Hold,Hold
2010-06-23,1092.040039,Hold,Hold
2010-06-24,1073.689941,Hold,Hold
2010-06-25,1076.76001,Hold,Hold
2010-06-28,1074.569946,Hold,Hold
2010-06-29,1041.23999,Hold,Hold
2010-06-30,1030.709961,Hold,Hold
2010-07-01,1027.369995,Hold,Hold
2010-07-02,1022.580017,Hold,Hold
2010-07-05,1022.580017,Hold,Hold
2010-07-06,1028.060059,Hold,Hold
2010-07-07,1060.27002,Buy,Hold
2010-07-08,1070.25,Hold,Hold
2010-07-09,1077.959961,Hold,Hold
2010-07-12,1078.75,Hold,Hold
2010-07-13,1095.339966,Hold,Hold
2010-07-14,1095.170044,Hold,Hold
2010-07-15,1096.47998,Hold,Hold
2010-07-16,1064.880005,Hold,Hold
2010-07-19,1071.25,Hold,Hold
2010-07-20,1083.47998,Hold,Hold
2010-07-21,1069.589966,Hold,Hold
2010-07-22,1093.670044,Hold,Hold
2010-07-23,1102.660034,Hold,Hold
2010-07-26,1115.01001,Hold,Hold
2010-07-27,1113.839966,Hold,Hold
2010-07-28,1106.130005,Hold,Hold
2010-07-29,1101.530029,Hold,Hold
2010-07-30,1101.599976,Hold,Hold
2010-08-02,1125.859985,Hold,Hold
2010-08-03,1120.459961,Hold,Hold
2010-08-04,1127.23999,Hold,Hold
2010-08-05,1125.810059,Hold,Hold
2010-08-06,1121.640015,Hold,Hold
2010-08-09,1127.790039,Hold,Hold
2010-08-10,1121.060059,Hold,Hold
2010-08-11,1089.469971,Hold,Hold
2010-08-12,1083.609985,Hold,Hold
2010-08-13,1079.25,Hold,Hold
2010-08-16,1079.380005,Hold,Hold
2010-08-17,1092.540039,Hold,Hold
2010-08-18,1094.160034,Hold,Hold
2010-08-19,1075.630005,Hold,Hold
2010-08-20,1071.689941,Hold,Hold
2010-08-23,1067.359985,Hold,Hold
2010-08-24,1051.869995,Hold,Hold
2010-08-25,1055.329956,Buy,Hold
2010-08-26,1047.219971,Hold,Hold
2010-08-27,1064.589966,Buy,Hold
2010-08-30,1048.920044,Hold,Hold
2010-08-31,1049.329956,Hold,Hold
2010-09-01,1080.290039,Hold,Hold
2010-09-02,1090.099976,Hold,Hold
2010-09-03,1104.51001,Hold,Hold
2010-09-06,1104.51001,Hold,Hold
2010-09-07,1091.839966,Hold,Hold
2010-09-08,1098.869995,Hold,Hold
2010-09-09,1104.180054,Hold,Hold
2010-09-10,1109.550049,Hold,Hold
2010-09-13,1121.900024,Hold,Hold
2010-09-14,1121.099976,Hold,Hold
2010-09-15,1125.069946,Hold,Hold
2010-09-16,1124.660034,Hold,Hold
2010-09-17,1125.589966,Hold,Hold
2010-09-20,1142.709961,Hold,Hold
2010-09-21,1139.780029,Hold,Hold
2010-09-22,1134.280029,Sell,Hold
2010-09-23,1124.829956,Hold,Hold
2010-09-24,1148.670044,Hold,Hold
2010-09-27,1142.160034,Hold,Hold
2010-09-28,1147.699951,Hold,Hold
2010-09-29,1144.72998,Hold,Hold
2010-09-30,1141.199951,Hold,Hold
2010-10-01,1146.23999,Hold,Hold
2010-10-04,1137.030029,Hold,Hold
2010-10-05,1160.75,Hold,Hold
2010-10-06,1159.969971,Hold,Hold
2010-10-07,1158.060059,Hold,Hold
2010-10-08,1165.150024,Hold,Hold
2010-10-11,1165.319946,Hold,Hold
2010-10-12,1169.77002,Hold,Hold
2010-10-13,1178.099976,Hold,Hold
2010-10-14,1173.810059,Sell,Hold
2010-10-15,1176.189941,Hold,Hold
2010-10-18,1184.709961,Hold,Hold
2010-10-19,1165.900024,Sell,Hold
2010-10-20,1178.170044,Hold,Hold
2010-10-21,1180.26001,Hold,Hold
2010-10-22,1183.079956,Hold,Hold
2010-10-25,1185.619995,Hold,Hold
2010-10-26,1185.640015,Hold,Hold
2010-10-27,1182.449951,Hold,Hold
2010-10-28,1183.780029,Hold,Hold
2010-10-29,1183.26001,Hold,Hold
2010-11-01,1184.380005,Hold,Hold
2010-11-02,1193.569946,Hold,Hold
2010-11-03,1197.959961,Hold,Hold
2010-11-04,1221.060059,Hold,Sell
2010-11-05,1225.849976,Hold,Sell
2010-11-08,1223.25,Hold,Sell
2010-11-09,1213.400024,Sell,Hold
2010-11-10,1218.709961,Hold,Hold
2010-11-11,1213.540039,Sell,Hold
2010-11-12,1199.209961,Hold,Hold
2010-11-15,1197.75,Hold,Hold
2010-11-16,1178.339966,Hold,Hold
2010-11-17,1178.589966,Hold,Hold
2010-11-18,1196.689941,Hold,Hold
2010-11-19,1199.72998,Hold,Hold
2010-11-22,1197.839966,Hold,Hold
2010-11-23,1180.72998,Hold,Hold
2010-11-24,1198.349976,Hold,Hold
2010-11-25,1198.349976,Hold,Hold
2010-11-26,1189.400024,Hold,Hold
2010-11-29,1187.76001,Hold,Hold
2010-11-30,1180.550049,Hold,Hold
2010-12-01,1206.069946,Hold,Hold
2010-12-02,1221.530029,Hold,Hold
2010-12-03,1224.709961,Hold,Hold
2010-12-06,1223.119995,Hold,Hold
2010-12-07,1223.75,Hold,Hold
2010-12-08,1228.280029,Hold,Hold
2010-12-09,1233.0,Hold,Hold
2010-12-10,1240.400024,Hold,Hold
2010-12-13,1240.459961,Hold,Hold
2010-12-14,1241.589966,Hold,Hold
2010-12-15,1235.22998,Sell,Hold
2010-12-16,1242.869995,Hold,Hold
2010-12-17,1243.910034,Hold,Hold
2010-12-20,1247.079956,Hold,Hold
2010-12-21,1254.599976,Hold,Hold
2010-12-22,1258.839966,Hold,Hold
2010-12-23,1256.77002,Hold,Hold
2010-12-24,1256.77002,Hold,Hold
2010-12-27,1257.540039,Hold,Hold
2010-12-28,1258.51001,Hold,Hold
2010-12-29,1259.780029,Hold,Hold
2010-12-30,1257.880005,Hold,Hold
2010-12-31,1257.640015,Hold,Hold
